text,label
"Не вкусно, рис отвратительный",Невкусно
"Не вкусно, Разваливается,имбирь сухой, больше не буду там заказывать,много масла остаётся,жирно,фу","Невкусно, Разваливается, Сухо, Жирно"
"Не вкусно, ролы были слишком сухие, как будто вчерашние. разочарованы заказом.","Невкусно, сухо, Несвежие блюда"
"Не вкусно, хуже только на прилавках в ларьках",Невкусно
"Не вкусно, что за цукини в лапше",Невкусно
Не вкусно. Заказала в первый и в последний раз,Невкусно
не вкусно. одно тесто  и  капуста больше заказывать пиццу сдесь не буду,"Невкусно, Мало начинки"
"Не вкусное, пережаренное и много жира","Невкусно, Пережарено, Жирно"
"Не вкусные роллы, все разваливаются","Невкусно, Разваливается"
не вкусные суши за то по стоимости как у всех,Невкусно
"Не вкусные, пресные блины и безвкусные пельмени","Невкусно, Безвкусно, пресно "
"Не впечатлили, не вкусно. Еще курьер не внимательный, достал пин пад для оплаты заказа, который уже был оплачен онлайн.","Невкусно, Низкое качество обслуживания"
"не всё отправили, заказывали сет Висяки и подарочный набор из 8ролов. не доехали. так и приборы тоже",Неполная комплектация
Не дали даже салфеток . очень долго ждали заказ,"Долгая доставка, Неполная комплектация"
"не довезли 2 порции фри, не знаю чья вина, курьера или кто собирает заказ, дети ждали фри дополнительно ещё 30-40 минут 
и даже не извинились",Не довезли
"Не довезли салат и соус, в остальном всё вкусно",Не довезли
"Не довезли товар. 
Заказали два васаби и имбирь, привезли по одному. Хотя заплатили за два",Не довезли
"не доложили набор палочек и соус, еда холодная и сет был не много помят.","Не довезли, Холодные блюда, Мятое"
"Не доложили Твистер, очень хотел кушать, поэтому при приеме заказа не заметил",Не довезли
"не допекли тесто, начинка нормальная",Недоготовленное
не доставили заказ но сняли деньги,Не доставлен
"Не доставили заказ, не вышли на связь",Не доставлен
"не доставили картошку, видимо сто 2 порции одина, и соусы три шт не положили",Не довезли
"не доставили половину заказа(2 твистера), написала в поддержку, перезвонила через пару часов, мне сказали, что мне звонили три раза (никаких звонков не было), чтобы заменить позицию, но поскольку я не брала трубку, то заказ закрыт, ничего не поменять",Не довезли
"Не заказывали пиццу, за неё ничего не скажу, но взял картошку фри, гренки и шарики сырные 
картошка фри дубовая даже горячая, без соли
гренки заявлены как чесночные, но по факту там от чеснока одно название 
сырные шарики майонезно-панкреатитная хтонь
упаковка и доставка - хорошие","Невкусно, Холодные блюда, Недосолено, несоответствие состава "
"Не знаю с чего начать... я оформил заказ в 1:56, подтвердили его только 2:25, но это не упрёк, может на кухне завал, хотя, с такой едой, сомневаюсь...
Как подтвердили заказ, мне позвонили из ресторана, и сказали что привезут в 3:40. Я хотел спать, думаю, можно и подождать. В 3: 20 мне звонят и говорят что мой заказ перепутали с заказом другого человека, перепутали соусы, как я помню, а я заказывал Цезарь, поэтому тут критично было бы. В 3:35 мне звонят и говорят что соусы на месте, но бургер, который я заказывал за баллы, по случайности, откусили. Я сказал везите всё ровно, не туберкулезник же его кусал, в итоге в заказе его не было... странно получается, будто бы его не было вовсе... Еще оператор сказал что мой заказ отвезли на другой конец города, поэтому придется подождать ещё. В итоге я встретил курьера в 4:30... С остывшей едой, без бургера. Не советую это место в ночное время, но так как выбора у меня не было, пришлось есть что было. Ещё порадовало что оператор, на мой вопрос, по поводу остывшей еды ответил ""можно разогреть в микроволновке""... не знаю как тебе, но мне за 1000 рублей хочется есть горячее и всё что я заказывал, в том числе и бургер. Понимаю что это был мой выбор и ночью заказывать что-то это лотерея. Город Владимир если что...","Долгая обработка заказа, Не то привезли, Долгая доставка, Холодные блюда, Не довезли"
"Не знаю уж что произошло ..заказываю постоянно и всем  довольна ,но сегодня привезли какую то старую сморщенную картошку ,ну ребят видно же что что не первой свежести ,я понимаю что за баллы ,но так нельзя ,да и шашлык тоже оставляет желать лучшего,либо мясо замороженное либо старое ,а вообще как будто разогрели  ,что случилось ?Всегда ставлю вам хорошую оценку ,потому что постоянный клиент и всем довольна ,но сегодня я очень расстроена 😿",Несвежие блюда
"Не знаю, дело в ожидании или в курьере
На этаж поднялся без термосумки, что уже изначально вызвало вопросы
Вся еда была холодной, пицца так вообще затвердела настолько, будто пролежала полдня",Холодные блюда
"Не знаю, что с вами стало. Но раньше было вкуснее. Рис походу самый дешевый покупаете, рис должен таять во рту. А он сухой. Доставка в срок, но вот с качеством еды бы вам поработать друзья, и сменить сушистов. Ибо я бы за такое и 500 рублей не заплатила бы, зная что мне такое придет.","Низкое качество продукции, Сухо, Невкусно"
"не клиентоориентированны, «доставим за 1,5 часа, в итоге 2,5 и холодное, на вкус норм, на все вопросы перекладывание ответственности","Задержка, Холодные блюда, Низкое качество обслуживания"
"Не могу оценить заказ так как он не был доставлен . По причине отъезда , я его отменила !",Не доставлен
"Не однократно заказывали в данном месте,Практически всегда было всё хорошо, были не большие проблемы с доставкой, но это не кретично.Еда всегда была вкусная. 
Сегодня заказали роллы...сложилось впечатление что готовили люди которые вообще не относятся к общепиту... Рис получился не доваринный и рассыпчитый,кстати узбекский плов получился бы вкусным, может сменить направление кухни? (это на заметку хозяивам данного предприятия) 
И на последок работники которые собирает заказы имейти совесть в конце концов хватит ""воровать мои"" приборы...третий заказ подряд немогу найти палочки для ролл...","Недоварено, Неполная комплектация"
"Не особо могу сказать что сеты соответствуют с фото,Филадельфия и запеченные,по факту другие приходят,Филадельфия рыбу как украли,на фото одно,пришло другое
К этому всему еще после этого желудку стало плохо…
Вы себе имя зарабатываете или просто деньги?🙃","Несоответствие фото, Мало начинки, Невкусно"
"Не особо понравились роллы, у каждого какой-то странный вкус. Какой-то немного кислый, какой-то слишком соленый. Рыба тоже не очень понравилась, соглашусь с предыдущим отзывом, что тунец на вкус как селёдка. Ну из плюсов, привезли быстро и комплектация хорошая. Скорее всего больше отсюда заказывать не буду.","Невкусно, Кисло, Пересолено"
Не очень ((((((((((((((((((((((((((((,Невкусно
"Не очень вкусно, в сушах много риса","Невкусно, Много риса"
Не очень понравились по вкусу,Невкусно
не положили в заказ чикен Крим.,Неполная комплектация
"не положили васаби, имбирь",Неполная комплектация
"не положили васаби, имбирь. соевый соус, палочки. первый раз такое вижу. ещё не пробовал, но больше там заказывать не буду. ужасно",Неполная комплектация
"Не положили к заказу набор из трех бургеров, фото чека есть 
По доставке никто не отвечал, дозвониться было не до кого","Не довезли,  Низкое качество обслуживания"
"Не положили лаваш в заказ, в счёт включен и оплачен. Ребра барбекю без соуса.",Неполная комплектация
"Не положили ни палочек,ни соусов,ничего",Неполная комплектация
Не положили оплаченный соус(,Неполная комплектация
не положили палочки а я записала их,Неполная комплектация
"Не положили палочки для роллов, еда была холодная, доставку долго ждали, нажимал на кнопку «связаться со мной», позвонили уже когда ложились спать, написал комментарий к заказу «позвоните пожалуйста перед тем, как позвоните в домофон» мне никто не позвонил. Были не довольны совсем!","Неполная комплектация, Холодные блюда, Задержка, Не учли пожелание  "
"Не положили палочки и салфетки, хотя указано 2 персоны, пришлось есть руками. Ролл с водрослями сверху весь развалился","Неполная комплектация, Разваливается"
"не положили палочки, согласилась на долгую доставку но и ее задержали, вкус еды мог перекрыть все негативные моменты но увы это было отвратительно. рис разваливался практически на каждом кусочке а на филадельфии рыбы было меньше 1мм и то в лучшем случае 🤣","Задержка, Неполная комплектация, Невкусно, Развалено, Мало начинки"
"Не положили порцию лука и соус
2 шавермы засунули в одну
Суши ужасные, рис просто каша","Не довезли, Невкусно, Переварено"
"Не положили приборы ,картофель фри полусырой , лапша как-будто с вчера подогрели (","Неполная комплектация, Сырое, Несвежие блюда"
"Не положили приборы (хотя я их указала), рис был с кислым привкусом, гарниры холодные. Но привезли быстро.","Неполная комплектация, Холодные блюда, Несвежие блюда"
"не положили приборы, а так все вкусно. немного опечалены заказом",Неполная комплектация
"не положили приборы, не было ни соуса,ни васаби. нигде не указано,что не будет в заказе и надо дополнительно покупать",Неполная комплектация
"Не положили приборы, хотя указала этот момент при доставке. Соусы заказала дополнительно, привыкла , что нигде не кладут, в итоге положили свои + за доп. оплату, даже не знаю хорошо это или плохо, что никто не предупредил про соусы. Обычно соусы кладут с палочками, а тут одни соусы. Роллы сами по себе на любителя, понравился только филадельфия из сета « на вечер», с шапочками были уж очень майонезные. Темпура вообще жаренный как будто в рыбьей шкуре, уже давно такого нигде не видела. За свою стоимость наверное и нормально, смешанные ощущения. Доставили как обещали через 1.40, курьер вежливый.","Неполная комплектация, Невкусно"
"Не положили рис к том яму,на звонки не отвечали,писала в тех поддержку чибиса,им тоже не ответил ресторан. В том яме была несчастная одна маленькая креветки и три мидии. Когда ела в заведении было очень много морепродуктов. Ела этот том ям очень часто раньше,больше тут заказывать не буду,только если в самом кролике есть😃","Неполная комплектация, Мало начинки, Нет связи с рестораном,  Низкое качество обслуживания"
Не положили роллы за баллы,Неполная комплектация
не положили сметану и 1 шаурму. привезли вечером но всю размякшую,"Не довезли, Сырое"
"не положили соевый соус
хотя оплатили за него",Неполная комплектация
Не положили соевый соус! Хотя заказывала.,Неполная комплектация
Не положили соус за доп. Оплату.,Неполная комплектация
не положили томаты черри 😡не салат а ужас.,"Неполная комплектация, Невкусно"
"Не понравилась шаурма, видимо не повезло с поваром😞 курица внутри будто была не свежая. пицца была лучше шаурмы, но хотелось бы вкуснее. Очень жаль:(","Несвежие блюда, Невкусно"
"не понравились пироги, тесто у всех одинаковое, хачапури вообще привезли с запекшимся яйцом и не тянучим сыром, вообще не вкусный", Невкусно
"Не понравилось, что вкус сухой, что обслуживание, сказали что через 20-30 минут будет готово, приехали через 40 минут и сказали еще ждать 20 минут. Также соевый соус не шел в комплект и пришлось покупать.","Задержка, Неполная комплектация, Сухо,  Низкое качество обслуживания"
"не понравилось,хоть в этот раз доставили быстро",Невкусно
"Не понравилось. Ждали почти 3 часа, на вкус тоже не впечатлило. Не советую.","Задержка, Невкусно"
"Не понятно почему такой высокий рейтинг у данного заведения. Упаковано всё максимально обычно, по простому, максимально дёшево. Бургеры просто завёрнуты в фольгу, сразу и не понятно где какой. На вкус средне. Картошка слишком жирная, вся упаковка в масле. Роллы заказывал разные, они почти одинаковые на вкус. Просто много клейкого, вязкого риса и немного начинки. Честно говоря хотелось выкинуть, но жалко деньги, может доем как нибудь.","Жирно, Мало начинки, Невкусно"
Не посоветую ни кому заказывать!!! Лук маринованный и шампиньоны с соусом куда не шло!!! Мясо ужас,Невкусно
"Не почувствовал содержимого в роллах,будто ем безвкусный рис, при этом он был кажется недоваренным. Про шапочку без комментарий. Очень надеюсь,что больше такого не повторится)","Невкусно, Мало начинки, Недоварено"
не привезли доставку и не позвонили,"Не доставлен, Низкое качество обслуживания"
Не привезли пиццу не знаю почему,Неполная комплектация
Не привезли чизкейк за баллы,Неполная комплектация
"не привезли, ещё и оператор нахал","Не доставлен, Низкое качество обслуживания"
"Не привезли, ждали два часа.",Не доставлен 
не приятный запах от роллов в одном из наборов,Несвежие блюда
"Не раз заказывали здесь, до этого времени всё было хорошо и вкусно. Сейчас привезли полный ужас! По другому не могу сказать. Рис был сырой. Или наоборот слишком переваренный. Попробовав три штуки, поняла, что они отвратны как на вид, так и на вкус. Меня даже стало мутить. Очень разочарована и больше никогда не закажу здесь! Жаль потраченных денег!","Сырое, Переварено, Невкусно"
"Не роллы, а отварной рис с ингредиентами, фото вообще не соответствует оригиналу"," Несоответствие фото, Невкусно"
"не свежая рыба,тухлая соус прокис,заказываю не первый раз в этом ресторане,но впервые разочарована ,что мне теперь делать с таким объёмом суш тухлых???????",Несвежие блюда
"Не соответствует фото
Но самое главное качество продукта, пахнет не свежим на вкус даже пробывать не стали, зря потраченные деньги","Несоответствие фото, Несвежие блюда"
"не стоит здесь заказывать еду.обманывают  с количеством. заказывала том ям,привезли,ну правда смешно  меньше пол тарелочки...вопрос решать не хотят","Несоответствие граммовки, Низкое качество обслуживания"
Не стоит своих денег. Но хинкали вкусные,"Невкусно, Дорого"
"Не удалось попробовать, так как заказ был отменен через два часа после оформления, в виду отсутствия воды на предприятии",Не доставлен 
"не умеют готовить супы, особенно том ям и грибной. заказывали с девушкой, после грибного супа у неё был понос, а у меня чуть не разорвало очко от остроты том яма",Несвежие блюда 
"невкусная еда. пиццу есть невозможно, роллы невкусные. больше заказывать не будем",Невкусно
"Невкусно, заказывала несколько раз, но именно сегодня отвратительно на вкус, соленое и никакое больше","Невкусно, Соленое"
"Невкусно, очень долго, с последствиями для жкт.","Невкусно, Долгая доставка"
Невкусные роллы! Рыба с запахом! Доставка очень долгая,"Несвежие блюда, Невкусно, Долгая доставка"
"Невозможно сделать заказ
Постоянно отменяют",Отмена заказа
"Недавно заказывал в первый раз у Вас, и доставщик не мог дом найти по навигатору. Как так, не понимаю. Ладно, решил заказать второй раз, но на этот раз доставщик чуть опоздал. Но самое главное это то, что я заказал ту же самую пиццу что в первый раз была, но на этот раз она была ужасно приготовлена. С пиццы стекало масло и вся коробка в масле. Зачем нужно было так ее замасливать, не понимаю. Так что ребята в этот раз я Вами не доволен.","Задержка, Низкое качество продукции, Жирно"
"Недоготлена картошка ,лапша не вкусная как будто ей 3 дня","Невкусно, Сырое, Несвежие ингредиенты"
нет ни одного прибора! некоторые роллы пересолены,"Неполная комплектация, Невкусно, Пересолено"
"Нет соуса и имбиря, не положили приборы и салфетки",Неполная комплектация
"Нет, позиций в ресторане, потерянное время, убрать и доставить, с сервисом не дружат технически.",Низкое качество обслуживания
"нету соевого соуса, имбиря и васаби",Неполная комплектация
"Ни единого прибора к заказу, порции маленькие, цена завышена, еда съедобная, но не сказать, что приготовлена из свежих и хороших продуктов 
К сожалению, заведение разочаровало, больше заказывать не буду","Неполная комплектация, Маленькие порции, Дорого, Несвежие блюда"
"Ни одной салфетки, ни одного прибора. 
Брускета перевернута в контейнере. 
Роллы по вкусу на тройку. Пивной набор стабильно вкусный, крылья тоже нравятся, это уже стало визитной карточкой данного заведения","Неполная комплектация, Плохая транспортировка, Невкусно"
Ни соуса ни васаби нихуя нет,Неполная комплектация
"Никто не перезвонил чтобы подтвердить заказ, как итог один вид роллов просто не положили(он закончился), но узнаю я об этом только от курьера
Второе, соевый соус и приборы были указаны, но опять же не положили НИЧЕГО даже салфеточки
А что простите у вас с сервисом стало?
Больше не закажем спасибо, наплевательское отношение","Нет обратной связи, Неполная комплектация"
ничего не доставили и не отменили заказ и не первый раз,"Не доставлен, Нет обратной связи"
"Ничего плохо сказать не могу, просто обычно пресно и без вкуса","Невкусно, Пресно"
"Ничего хуже в жизни не пробовали , дорого и на вид будто наблевали в тарелку ! Выбросили все в помойку , остались с мужем голодные ! Не советую !","Невкусно, Дорого, Плохой вневший вид"
"Ночью оформили заказ из ресторана. 2 маленькие пиццы. Обещанное время ожидание составляло 1:25, по истечению этого времени, я позвонила в ресторан, мне пообещали связаться с курьером и перезвонить, проходит еще 20 минут, мне так никто и не перезвонил, история повторяется. 
В конечном итоге, мы ждали курьера почти 2 часа. Неужели ночью такой поток заказов, что не уложиться в установленное время? 
Про пиццу, кстати, гурметто всегда славилось своим тонким тестом, а в этот раз теста было, как в осетинском пироге - огромное количество.","Задержка, Мало начинки, Низкое качество обслуживания"
"Ну 2 часа доставлять пиццу, ну ребят, ну это не дело
Сама пицца вкусная, но два часа, друзья...",Задержка
"Ну на вкус было не очень, и рис разваренный. Само обслуживание хорошее и время доставки устроило","Невкусно, Переварено"
"Ну плюшка плюшкой)
В остальном все замечательно, доставка быстрая.",Невкусно
"Ну почему нельзя добавлять фото... филадельфия это полнейшее разочарование, калифорния немного лучше. к запеченым вопросов нет, но и умудриться надо сильнее чтобы майонез с рисом испортить. имбирь сухой, это жесть какая-то","Несвежие блюда, Невкусно"
"ну так себе, 2 раз я бы в этом заведении не заказал. ну а так эксперимент удался, половину, выкинул. разница во вкусе у этого сета практически нет, какой ролл не возьми всё одинаково. поэтому оценка такова. p.s все портит то, что шапочка сверху на роллах одинаковая и из-за нее у роллов 1 и тот же вкус. а это очень бесит и быстро приедается. если измените это добавите разнообразие то будет лучше.",Невкусно
"Ну такое доставка обещалась 60/90 мин опоздал не уложился ,специально и прописала и сказала только по терминалу оплата ,нет курьер приезжает я забыл переведите я говорю у меня комиссия раз другое чик мне не удобно так стоит молчит я говорю поедите обратно кататься или чего делаем  точно стоял все кинул оп ,а у него он нашелся принес за пол минуты !!!! 
Пицца студенческая слова нет про лук красный, ненавидим лук вообще, дак его там куча он мелко  мелко нарезан пожалуйста пол пиццы варено пареного лука пришлось ковырять доставать фото сделано . Ну вечер короче такой себе еда на 4 слабую .","Задержка, Несоответствие состава, Низкое качество продукции"
"Ну что тут говорить, пицца приехала в не надлежайшем виде. Пожалуйста постоянно при курьере смотрите свой заказ. Не мучайтесь с компенсацией как мы это делаем. Сама пицца огонь, но в курьеров берут каких то неадекватов, как можно уматать пиццу до такого сотворения. Куски друг на друге лежали","Проблемы при доставке, Плохая транспортировка"
О вкусах не спорят. Но лично мне не зашли. Может конечно нужно пробовать больше разновидностей роллов. Я 4 вида попробовала,Невкусно
Обе пиццы были мягко говоря не очень...,Невкусно
"обе пиццы пришли без соуса,который поливается сверху, поэтому вкус уже не тот получился","Неполная комплектация, Невкусно"
"обе пиццы сухие. с креветками заказываем часто, но такая в первый раз. креветки максимально тонко нарезаны сыра творожного нет. и обычно кладут доп соус, но не в этот раз(","Невкусно, Сухо, Мало начинки, Неполная комплектация"
"Обед был вкусный , однако салат был испорчен. картофель в нем был кислым 
из за этого впечатление подпортилось.",Несвежие блюда
"обещали что приедет через 20 минут, а по факту вообще не пришло.",Не доставлен
"обманули по весу!!! заказывали цыпленка табака с картофелем-общий вес должен был быть 1300г,из них 600 г картошки,по факту привезли половину цыпленка и немного картохи-общим весом 434 грамма.ждали заказ 3 часа,хотя ожидание час написано.манты не вкусные- лука больше чем мяса.лагман более-менее потянет.а да,звонили отменить цыпленка на плов,чтоб им не готовить его,но мы отказались.не рекомендую это заведение.","Задержка, Несоответствие граммовки, Невкусно"
"Общее впечатление ужасное . Доставка через 3 часа . Пытаешься дозвониться , никак не получается . Не положили крылышки . Просто ужас .","Не довезли, Долгая доставка, Нет связи с рестораном"
"обычно вкусные роллы. в этот раз вообще не понравились. рис пресный, не вкусный. рыба сверху какая-то прям сухая была и тоже безвкусная. остались очень недовольны.","Невкусно, Низкое качество ингедиентов"
"Обычно заказываем роллы в другом месте, сегодня решили остановиться здесь, так как была самая оптимальная доставка по времени. По итогу :вкус ужасный, выкинули все роллы + просидели с мужем у туалета с приступом рвоты, было ожидаемо за сет стоимостью 888₽ + ролл за бонусы. Не советуем","Невкусно, Несвежие блюда"
"Огромные куски мяса в пицце и цезаре мягкие сухари не пропорциональные ,креветки были вкусные",Невкусно
"Огурец в ролах старый и кислый, в калифорнии крабовая палочка, самая дешевая, а сверху просто насыпали икры, в комплектации 2 салфетки, очень испортились👎🏻","Несвежие блюда, Низкое качество продукции, Непрезентабельный внешний вид, Неполная комплектация"
Ожидал нормальную пиццу а Пицца подгорела,Горелое
"ожидали доставку с задержкой в час!!!!! 
ужасный сервис... 
вечер испорчен!! 
желания кушать небыло!!!",Задержка
"Ожиданий не оправдало, суши всё перевёрнутые приехали, еле тёплые","Холодные блюда, Плохая транспортировка"
"Они работаю до 02:00.
Я сделала заказ в 00:10.
И они его отменили.
Что за бред?",Отмена заказа
"Оператор сказал ожидание доставки 1,5 часа, по факту почти 2,5 часа","Задержка, Низкое качество обслуживания"
оператор хам и привезли поломанную шаурму,"Проблема при доставке, Низкое качество продукции, Низкое качество обслуживания"
"оплата по терминалу не проходила, оплатили переводом, хотя это было не удобно. пицца за баллы цезарь указан вес 600 г, по факту всего 427 г, есть фото целой пиццы на весах, жаль не прикрепить к отзыву. огромный недовес. рис в суши недоваренный, некоторые кусочки разваливались. раньше часто у вас заказывали, а теперь качество и вкус очень испортились.","Проблема при оплате, Несоответствие граммовки, Недоварено, Развалено, Невкусно"
"Оплатить можно только переводом или наличными, хотя в приложении можно выбрать оплату картой. Может, кому-то не принципиально, но я из-за этого теряю кэшбек. Ждать предложили около 2 часов, естественно я отказалась, потому что нормальные заведения привозят в течение часа, максимум полутора часов","Проблема при оплате, Долгая доставка"
"Опоздали на час, никто даже не извинился, звонили в службу доставки, сказали что ваш заказ уже доготавливается и едет к вам, через 40 минут он все так же доготавливается","Задержка, Низкое качество обслуживания"
"опоздали так ещё и всё максимально холодное пришло пришлось разогревать и есть после микроволновки потому что это есть так было невозможно, последний заказ в этом заведении.","Задержка, Холодные блюда"
опозданий на 40 минут.и связаться не ским,"Задержка, Нет обратной связи"
"опять было все холодное,курьер спрашивает меня сколько сдачи вам сдать","Холодные блюда, Проблемы при доставке"
"основной вопрос именно о вкусу. жирно, тесто в пицце - батон. суши... съедобны, но это лучший эпитет. когда голодно- вполне, но при возможности выбора-сомнительно","Невкусно, Жирно"
Оставляла заказ.не привезли .звонила в кафе трубку даже не взяли и не перезвонили,"Не доставлен, Низкое качество обслуживания"
Отвратительеый перемотал перепутала пиццу не вернули ничего обещали бонус перестали брать трубки отвратительно,"Не то привезли, Низкое качество обслуживания"
"Отвратительная долгая доставка , все запотевшее. Холодное!!!! Никогда больше в жизни не обращусь к вам! Оператор вообще отказывалась помочь, узнать где курьер катается ! Ужас!","Задержка, Холодые блюда, Низкое качество обслуживания"
"Отвратительная доставка, служба поддержки вообще ни какая, все по шаблону. Больше часа ждали от назначенного времени, так и не дождались.","Не доставлен, Низкое качество обслуживания"
"Отвратительно долгая доставка 
Всё холодное 
Опоздали на 35 минут
Не доложили один соус","Не довезли, Задержка,  Холодные блюда"
"Отвратительно, 3 часа везли заказ. Всё естественно холодное. Заказывал также приборы, ни одного не привезли. На претензии не реагируют, по запросу перезвонить - не перезванивают. Однозначно не рекомендую!","Задержка, Холодные блюда, Неполная комплектация, Низкое качество обслуживания"
"Отвратительно,даже роллами назвать трудно.","Непрезентабельный внешний вид, Невкусно"
"отвратительно(
заказали , привезли не то , дозвонились до поддержки. сказали сложить не правильный заказ и подождать курьера с нашим заказом. 
курьер всучил нам пакет где было как мусор накиданы наши коробки с роллами , всё холодное и уже противно есть зная , что это уже кто то вскрывал не понятно в каких условиях … на вопрос курьеру « вскрывался ли заказ он грубо отвечал нормально всё и убежал» 
вечер испорченый …","Не то привезли, Плохая транспортировка, Холодные блюда, Низкое качество обслуживания, Непрезентабельный внешний вид"
