текст,категория
"очень часто заказываем,но сегодня были разочарованы. роллы разваливаются, рис не вкусный, не было соусов..по телефону не предупредили что акция на день рождения не сумируеься с едой за баллы",не спам
"Курьер подождал 4 минуты и уехал, хотя должен был ожидать 10 минут",не спам
"Положили не те роллы, вместо запеченых, положили темпура",не спам
"Лосось перемороженный, доставка опоздала минимум на 40 минут. Суши в целом безвкусные. Не рекомендую",не спам
не положили соевый соус 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎,не спам
"Очень долгая доставка в указанное время не доставили, не могла связаться с оператором несколько раз пыталась дозвониться никто не ответил🤦‍♀️",не спам
ждали 3 часа это ужас. Всё холодное и не вкусно. не советую там заказывать. звонила раз двадцать не разу не ответили,не спам
"К оплате вышло 1613, вместо 1159. Очень долго ждали, столовых приборов не положили, соевый и другие специи не положили",не спам
"жду доставку 4 часа, Как-то от этого не весело",не спам
"Доставка задержалась на полчаса. Курьер попросила выйти за угол забрать заказ, аргументируя тем что ей не удобно парковаться. На слова о том, что чтоб забрать нужно одеваться (был холодный ветер и мы живем в общежитии и на улицу в тапочках нельзя, значит нужно переобуваться) сказала, ""Ну да, сейчас же зима чтоб одеваться нужно было. Сейчас зайду""",не спам
"Заказывали удон, привезли феттучини) Роллы не те)",не спам
"Прошло больше 3 часов с момента заказа, а он так и не пришел и приложение показывает что ресторан закрыт, а на телефон не кто не отвечает. Впервые сталкиваюсь с такой ужасной доставкой!!! Если у вас сильная загруженность, то будьте добры предупредить об этом заранее и отвечать на телефон, а не вынуждать людей тратить своё время на вас!!!Никогда здесь больше заказывать не буду.",не спам
"Еда очень жирная, пол контейнера масла, доставка почти три часа.",не спам
"Добрый вечер , к сожалению настроение было испорчено, несмотря на то , что сама доставка заняла на несколько часов больше времени чем должна была, но с этим я готова была смириться, соевый соус был разлит но удачно , что в внутри отдельного пакета . По мимо всего прочего , сам вкус роллов был на удивление необычно отвратительным . Рис переваренный и через чур сладковатый . Вечер был испорчен . 
Качество - стоимость не соответствуют . 
К сожалению здесь больше заказывать не будем .",не спам
"заказ не привезли.Он в статусе доставлен,  а мне никто его не доставил.
или отдайте деньги или заказ.",не спам
"Заказ доставили с опозданием в 25 минут.
Поддержка кроме «не удалось дозвониться до ресторана» и просьбы войти в положение ничего не сделала.
Выяснить почему курьера нет во время никто и не пытался.

В итоге спустя более часа после обращения поддержка интересуется был ли доставлен заказ (весь этот час поддержка молчала).",не спам
"Доставка была долгая, но ладно, принесли всё равно не всё. Киви-дыня одна была нормальной, а вторая - не была принесена. Такое не круто",не спам
не привезли полностью заказ оплату взяли полностью,не спам
"Вкусно но мало,заказывали не 4 штуки а 8 по факту, то что на сайте в заказе не соответствует количеству .",не спам
"единственное, что разочаровало, что цена на 100 рублей дороже, чем указано на сайте. Не обновилась информация",не спам
"Не доложили один соус, а так вкусно",не спам
"привезли заказ,но оказалось вместо люля крылья куриные.
позвонил ответили что наверное люля не было проложили крылья.
фиг с ним уже ссориться не стал,но!!!!
такие вещи оговаривать нужно обязательно заранее! тем более у меня стоит:""набирать в случае вопросов по заказу""!",не спам
"Убрали блюда за баллы, это прискорбно",не спам
"чиббис писал,что время готовности заказа 1 час,а при спросе о готовности на кассе сказали,что уже готово.
кассир сказала,что через чиббис пишут не корректно время готовности заказа,разница в 1 час,а это извините не мало для любого горячего блюда!
благо мы не стали ждать и сразу поехали свои суши и забрали их горячими",не спам
Было вкусно.но за бонусы доставки не было.больше заказывать не буду.....,не спам
"Заказывали пиццу «ветчина-грибы», по факту пришла «пепперони», при этом на коробке указано «ветчина-грибы». Расстроилась, так как острое не ем🥺",не спам
"весь заказ одно большое недоразумение, это не тот ресторан где мы заказывали обычно, решали вопросы по телефону",не спам
Не привезли роллы за баллы.,не спам
"когда заказывали знали, что это новый проект от почтовой конторы и ожидания были соответствующие. в результате полное разочарование. очень слабо. как будто заказали в самом бюджетном месте. но главное не это, а то, что вместо ролла с тунцом положили без согласования ролл с креветкой и шрирачей ( кстати, даже не такой как есть в меню, без томатов, арахиса, слепленный видимо из того что осталось ) так как мы совсем не едим острое, то весь ролл отправился в мусорку.",не спам
Не было чизкейка в заказе,не спам
"Заказ везли долго: вместо 1.50, привезли за 2.30. Но это ничего, если бы не: пицца вся остыла, роллы кривые , все разного размера. По вкусу не плохо",не спам
"Заказали порцию лапши удон с овощами и соусом теорияки, но привезли два тяхана (один за баллы, а второй вместо лапши). Ещё одной проблемой были порции роллов. В последнее время роллы очень маленькие. Сегодня они были разбросаны по коробке. Несколько разочарованы.",не спам
"вкус еды оценить сложно, так как спустя два часа доставка так и не приехала. отвратный сервис!",не спам
"Рис в роллах ужасно переварен в кашу, но какая то часть хрустела на зубах, заказала два ролла с креветкой в панировке, потому что люблю именно креветку в панировке, забили на меню, сделали с обычной креветкой оба ролла, жарить не стали, зачем? в следующий раз вместо роллов привезут немытые огурцы и сырой рис! Какое неуважение к клиентам",не спам
"Заказал в 19:42, доставили в 22:05. Ехать от Детского мира до треста около 5-10 минут. Шаурма холодная, раскисшая, лаваш рвался.",не спам
"предупредили что доставка будет 2,20, по факту больше 3х часов. ещё и курьер сказал, что тарминал завис,попросил оплатить переводом, осталась без кешбека из за этого. к еде претензий нет, как обычно очень вкусно.",не спам
"заказали первый раз в этом заведении,и,видимо,последний.
мало того,что заказ,который должен был быть доставлен к 19:30, после двух звонков с уточнениями, по итогу привезли в начале десятого,так еще и вместо запечённых роллов, в которых должен был быть лосось,оказалась курица. креветки, насколько я понял, в этом заведении,тоже можно чистить не полностью,чтобы испытывать ""приятный"" хруст  при употреблении роллов.
осталось плохое впечатление.",не спам
"Не смогли оценить вкус, так как доставку задержали (видимо закрытием занимались, а не доставкой) и привезли все холодное. Если бы не напомнили звонком, так бы и не доставили",не спам
"не привезли морс за баллы, и чизкейк за деньги.",не спам
"Заказ опоздал , практически на час . Исполнение роллов , тяп ляп, видно что сделаны на скорости к тому же по дороге их изрядно потрепало. Единственное по вкусу эта масса весьма не плоха . Итог : испорченный вечер.",не спам
"Обманывают по времени доставки. пишут, что 90 минут, а по факту 3 часа. Больше заказывать в данном месте не будем!!!",не спам
"Не вкусно. Не оложили ни соус, ни имбирь, ни васаби. Заказать больше не буду",не спам
"Здравствуйте. Заказывали по времени с 21-00 до 21-30, в 22-00 еле дозвонились, сказали, что курьер уже выехал, потом позвонил курьер и сказал, что ждать придётся ещё минут 40, пришлось отменять заказ, вечер пятницы был испорчен. Заказали роллы в разных местах, но такое впервые.",не спам
"очень.. очень... долго ждали заказ. принимают не сразу, пишем в поддержку, чтобы обратили внимание и приняли заказ. время доставки сразу становится два часа. ладно. проходят два часа, звоним, говорят ещё надо полтора подождать. позвонить и предупредить они забыли. ждём принципиально, чтобы понять ради чего эта нервотрёпка. наконец то звонит Курьер. мол, сейчас принесу вам ваш заказ, а вы историю платежей пока откройте, покажете мне. в результате у него чек больше на100 рублей . оплатите, говорит, или не получите. после долгих препинаний отстаиваю свой долгожданный заказ. всё позади, идём праздновать. ну что сказать. ребята, не стоит оно того. то что должно быть теплым холодное, что хрустящим, не хрустит. начинки почти нет имбиря и соуса по мини баночке...ну такое. ..не будем больше заказывать здесь и вообще чувство какое поганое, как будто есть нечего и просишь... так не должно быть ..",не спам
Отменили заказ сославшись на отсутствие курьера.,не спам
"Вместо нежного с курицей, продублировали ролл с дайконом",не спам
Доставили однну порцию картошки вместо 3 и 1 соус не положили(,не спам
Пирог ягодное диво весом около 800 гр а должен быть от 1 кг...обманывают,не спам
забыли одно блюдо поп корн,не спам
первый раз сколько заказывала не понравилось от слова совсем.доставку задержали.привезли все холодное .ощущение что поменялся повар т.к эти же блюда совсем не так приготовлены.разочарована.за такие деньги можно и постараться,не спам
Заказала в 18.49 заказ приехал в 1.20 ужас,не спам
Заказ задержали на 3 часа!!! Все приехало холодным и было невозможно есть ! Ужасно!!!😡,не спам
недовес с 4 пицц 220 грамм а это больше 10 процентов. в 5 сыров явно нет сыра с плесенью которую по фото видно,не спам
"Здравствуйте, хотелось бы написать отзыв. Ждали роллы в заозерный дольше указанного времени - это первое, ждали почти три часа. Ну ладно, роллы просто полное г….. рис не проверен, рыбка кусочек маленький лежит сантиметра 4, роллы калифорния - ЭТО ВООБЩЕ ЧТО?, рис в перемешку с икрой , вы вообще знаете что такое калифорния?Пицца спасибо, более менее - и то, купленная за баллы",не спам
"еда вкусная. выбрали блюдо за баллы, при расчёте взяли деньги и за это блюдо. обещали вернуть деньги, перевода так и не было. 499 р на дороге не валяются.",не спам
"приехал курьер через час с лишним, забрали, оплатили, в итоге понимаем, что он перепутал заказы, привёз нам из «инжира». всё это время сидели и пытались дозвониться хотя бы
до кого-то, один номер телефона якобы неправильно набран, по другому номеру - бот говорит мол пишите в поддержку, тут мы с вами разбираться не собираемся. нигде ни с кем лично нельзя поговорить нормально, сообщить о проблеме, одни боты в поддержке, которые сказали, что свяжутся с администратором через 10-20 минут, в итоге тишина. через пол часа позвонил сам курьер, извинился, сказал сейчас приедет с нашим заказом, но уже остывшим, к сожалению. с ним ругаться не стали, молодой парень, со всеми бывает. но то, как работают люди в этом заведении совсем не понравилось, нет никакой возможности связаться, плюсом ко всему этому, не положили соус, за который мы доплачивали отдельно. больше заказывать не будем :)",не спам
"Заказали в ресторане ролик пол 9, привезти должны были через час, но привезли спустя 3, до ресторана невозможно было дозвониться, курьер позвонил, сказал приедет через 5 минут , потом до него тоже нельзя было дозвониться, сбрасывал, сервис ужасный",не спам
заказал  за 2 часа до доставки . Опоздали на 40 минут,не спам
"ужасный заказ в этот раз, заказ задержали более чем на час, еда приехала недостаточно теплая, даже в качестве извинения не положили соевый соус и остальное, а так же мы заказали за баллы роллы, но пришли совсем не те",не спам
"Отвратительный сервис,нет курьеров,соответственно все если и приезжает то холодное
не советую заказывать тут умрёте от голода и обещаний сто сейчас вот вот и т.д.",не спам
"Ущербная доставка, как и администрация. Прождал 2,5 часа, просил уже администраторов связаться, но бестолку. В общем осадочек остался.",не спам
"Не раз заказываю . Было все норм 
Но в этот раз , это просто ужас .. все холодное . Не вкусное . Добавила на 7 персон приборы . Привезли на троих . Доставили позже .. ужас просто , вечер испортили",не спам
"Не привезли креветку, вместо разных сладких сетов положили два одинаковых!",не спам
"не доставили,после оплаты",не спам
"Заказ приехал с опоздание почти на два часа, естественно всё роллы оказались холодными. И это притом, что сделала заказ за три часа до нужного времени.",не спам
"Качество и вкус испортилось, на Филадельфии рыба прозрачная, в других роллах рыба коричневая, в теплых роллах были волосы 
Доставку задержали 👎",не спам
вместо поке с лососем привезли поке с курицей,не спам
"долгая доставка , сказали привезут через 1ч50м , а привезли через 2ч30м , привезли холодную пиццу , которая находилась не в сумке , а просто в багажнике , в пыли ,больше заказывать не буду и другим не советую .",не спам
"отвратительная еда🤢, креветки горелые приехали, детский суп с буквами такой соленый что есть невозможно..как это вообще ребёнку давать, доставка вообще ужасная , прождала два с половиной часа. не советую никому, первый последний раз....денег жалко , нормально в кафе поели бы намного вкуснее....",не спам
"заказ не получила, а написано что доставили",не спам
"Приехало холодным, вместе одной из пицц привезли другую,при этом более дешёвую и не вкусную,не советую.",не спам
"обещали за 60 минут, доставили за 120 минут, холодную даже не чуть не тёплую. у этого продовца заказывал первый раз, больше не буду и не рекомендую. цены космические, а обслуга отвратительная.",не спам
"Заказывали первый раз, начитались отзывов положительных…. Роллы это единственное, что можно было съесть из всего заказа. И то, ни палочек, ни соевого соуса имбиря и васаби не положили. Шашлык и люля были просто отвратительными. Мясо будто не на огне жареное, а просто сваренное в кастрюле. Ужасный посторонний запах, что у мяса, что у люля.. Доставку задержали на 50 минут, при каждом звонке уточнить где заказ оператор обещала связаться с курьером и перезвонить. Но так ни разу и не перезвонила. Всё приехало остывшее, картошка фри вся мокрая и разваливалась как каша. Роллы были раскиданы по контейнеру… В общем сервис просто ужас!!!",не спам
"Очень долго ждали 
По телефону сказали одно , привезли в другое время 
В итоге ждали 3 часа доставку",не спам
Не положили набор «снежный краб» вообще!,не спам
"оформляла предварительный заказ в 15:00 на 19:00. в комментарии время указала. по итогу в 19:00 заказа не было, девушка, ответившая на звонок, сказала, что курьер уже выехал и скоро будет у нас. в 19:20 я снова позвонила, девушка сказала, что курьер будет с минуты на минуту. в третий раз я уже просила девушку позвонить курьеру и уточнить, где он находится. мне так никто и не перезвонил и я вынуждена была позвонить снова, меня связали с администратором, объяснила ситуацию и попросила сделать хотя бы скидку, скидку 10% предоставили, курьер спустя пару минут подъехал, время уже было 19:30, извинился за опоздание. хачапури и роллы были холодными, дети расстроились, что желток застыл, позже обнаружили, что одни из роллов не соответствовали описанию. спасибо пожалуйста",не спам
"Ожидание сказали, максимум два часа, в итоге через 3 часа только привезли. По вкусу как будто приготовлены были еще с утра. Дизлайк.",не спам
"Часто здесь заказывала, все было в порядке.
В это раз одни суши перепутали положили не из заказа. Ну и в добавок, на следующий день отравление.",не спам
"Заказ был сделан в 10:45. Заявлено доставка 80 минут.Привезли еду только в 13:50.
Про еду: салат оливье переперчили ,суп не вкусный пресный. Во вторых блюда тоже перца переборщили. Очень разочарована!
Раньше было вкусно и сытно ,доставка хромала но не так сильно.Заказ не отменить.Обратной связи не дождаться.",не спам
"Заказ задержали на 4 часа... Коробки не соответствовали названию компании. Липки на салате были наклеены друг на друга... Качество ужасное. К сожалению, заказ не удовлетворил своих ожиданий",не спам
"+ 
доставка пришла теплая

-
ждал заказ 5 часов, указал не перезванивать, креветки плохо очищены",не спам
"Во-первых, не указано, что имбирь, соус и васаби не входят в наборы. У других ресторанов, которые не кладут их, на этом сделан акцент. При звонке администратор не предупредила. В-вторых, по обоим наборам недовес (20 граммов по одному, это не критично, и больше 100 по второму, это уже серьёзный минус). Есть фото в подтверждение. Разочарована.",не спам
Привезли с задержкой в полтора часа. Курьер не извинилась. Суши холодные.,не спам
"Не первый раз заказываем роллы и пиццу, но в этот раз совсем не понравились роллы, очень много риса, который недоваренный, местами хрустели рисинки. Роллы берешь они все разваливаются, вкус совсем не понравился. До этого заказывали были вкусные ю Может сменился повар или смена новая какая то, но невкусно, не получили удовольствие от них. Пицца вкусная. 
Заказала дополнительно васаби, но почему то не увидела его в заказе. При заказе васаби и имбиря кладут мало, васаби прям вообще очень мало, имбирь был жёсткий.",не спам
"Сделали первый заказ в данном заведении, о чем очень пожалели! Заказ доставляли более 3 часов. На звонки не отвечали! Забыли отдаль пиццу, пришлось бежать за курьером на улицу. Качество еды оставляет желать лучшего: пицца была холодная и черствая, словно сделанная вчера, некоторые виды  роллов, как нам показалось, были прокисшие. Вообщем не рекомендую!",не спам
привезли не тот совсем заказ!,не спам
"Привезли две разных шаурмы при том что заказаны одинаковые, обе шаурмы упакованы в один пакет, пока ехали размокли. Шашлык ""мягкий"" состоит из костей и жира, отвратительно. Куриный шашлык жёсткий. Лук не маринованный. 
Повторно заказ не сделал бы даже под страхом казни.",не спам
"Всегда было быстро и вкусно, но не в этот раз… ждали час пока подтвердят заказ, трубки не брали, привезли, роллы уже холодные, невкусные, да и остальные на 3 с минусом. И не положили имбирь ОПЛАЧЕННЫЙ! Зачем писать, что не входит в заказ, сами напихали 4 соуса, а что закапывалось не положили.",не спам
"Заказали сет роллов за 1299 и за 610 бонусов пиццу. В итоге, пиццу включили в стоимость, просто обман и наглость!!!",не спам
"Роллы не соответствуют фото с «Меню»
Нет сверху соусов!",не спам
"1) Вместо обещанных 60 минут, доставка шла 2,5 часа. 
2) Одну из заказанных пицц привезли мятой, будто она несколько раз в дороге перевернулась.
3) Очень кислый томатный соус, аж скулы сводит.
Раньше доставка была быстрой, и пицца была вкуснее.",не спам
"Заказывали на 23.30, специально на время, ладно, не страшно если был запас на доставку 5-10, но привезли в 00 часов…курьер терминал не взял с собой, я стояла его ждала еще минут 5 на лестничной площадке, пока он внизу стоял и громко с кем-то смеялся, вместо того, чтобы взять с меня уже оплату и ехать, ладно это нестрашно, пицца вся холодная, картошка тоже, единственное это крылышки нормальные, и пожалуй девушка оператор вежливая, только за это +,  всегда у вас заказываем, но такая ситуация впервые. Очень расстроены…",не спам
"В этот раз остался осадок от заказа. Контейнеры приехали помятые, ну и роллы соответственно тоже. И в добавок к заказу не положили блюдо за баллы, хотя баллы списали. Очень огорчена таким отношением. Надеюсь, что это еденичный случай. Обычно всё прекрасно, но в этот раз 👎",не спам
делали очень долго заказ задержали на час и привезли одно мясо не лука ни соуса,не спам
"Доставка задержалась, роллы пришли холодные как и пицца , даже васаби не положили , последний раз заказываю тут",не спам
"Заказывали в первый раз и точно в последний! Хамоватый оператор, еда вообще ужас… Пицца была заветренная, такое ощущение, что весь день простояла и нам ее сбагрили. Роллы отвратительные, доставлены в непригодном виде, все перевернуты. Картошка фри норм, но чесночный соус, который был заявлен, отсутствовал.",не спам
"заказала роллы, сказали 2 часа, прошло 2 часа звоню спрашиваю, говорят ещё мин 20 ,все вкусно, но вот это ожидание которое говорят и которое не исполняют прямо бесит - заведению",не спам
Время доставки в приложении и по чек отличалось на час.,не спам
"перепутали соус чесночный с кетчупом,курьер перепутал подъезд ,в чеке все было указано правильно",не спам
"Ждала заказ долго. На кухне были казусы. Решила заказать у них первый раз. Больше заказывать не буду. Роллы были в подвешенном состоянии. Забыли положить имбирь, хотя он тоже платный. Самыми вкусными оказались фруктовые роллы, но они вообще были за баллы. Сотрудники очень вежливые - это единственное, что обрадовало.",не спам
"Заказала в 12 часов, прождала до 15 часов, не привезли, позвонила уточнить, оказалось что заказ вообще не был принят.после моего звонка обещали через 1 час( привезли через 1,5 часа) привезти заказ+ подарок пиццу. Подарка конечно же я не получила. Опять обман.Очень не приятное мнение о работе вашего ресторана.",не спам
"Шашлык так себе, сухой. картошка чёрная подгоревшая. шаурма сухая. понравился только люля- кебаб. соусы тоже норм. доставка 3 часа, вместо 2 ч.",не спам
"Том-ям без наполнения, плавало 2 мидии, на этом все) одним словом-вода и помидоры, рис в комплекте- пол ложки
Роллы на 2 из 10, вкус отвратительный 
Комплектация к заказу 2 из 5, ложек к супу не было, как есть, если вы находитесь вне дома-вопрос 
Доставку задержали",не спам
"Заказали сет специально без кунжута. В итоге три из пяти видов ролл положили с кунжутом. Один вид вообще другой (даже не роллы, а рис с овощами в листе нори, без сыра и майонеза, как указано в описании). Роллы разной ширины, есть даже шириной меньше сантиметра. Роллы сложены так, что даже те, что не в кунжуте, в итоге тоже оказались в кунжуте. Ps аллергия на кунжут, поэтому ужин был испорчен.
Хочется также добавить, что до этого уже заказывали в ресторане, всё было хорошо. В этот раз что-то подрасстроили.",не спам
"За вкус пока не знаю, но жду заказ больше двух часов, вот, стою на улице жду курьера. А хотите знать почему я оставил отзыв пока ждал? Потому что заказ уже у меня )))))",не спам
Доставка была три часа это ужас,не спам
"3 часа ждать заказ , терминал не положили , всё холодное",не спам
"Доставка 2 часа, роллы холодные, одного соевого соуса не хватает",не спам
Ужасный сервис!!! Заказ никто не подтвердил ( не перезвонили)! На звонки никто не отвечал!!! Привезли пиццу маргарита в которой отсутствует томатный соус!!!,не спам
"Доставка очень долгая,не полный комплект привезли,не хватает 4штук,либо курьер съел,или не доложили,подумали,что не заметим,ролы все перевёрнутые, желание есть пропало  и заказывать у них перехотелось.",не спам
"доставка шла 3 часа, курьер не поздоровался, комплектации никакой, не доложили большинство роллов ролл из акции по баллам, который был в заказе. роллы безвкусные, разваливаются 
раньше очень любили ваши роллы, но последний год качество ухудшается а цена растет, никому не советую",не спам
Готовят приемлемо Цена качество.  по времени доставки врут. Пытаешься дозвониться автоответчик. Заказ жду уже два с половиной часа не слуха не духа.,не спам
"очень долгая доставка, ждали почти 3 часа вместо 1,5!!! ролы разваливались, не очень вкусные, мясо хорошее",не спам
"не доложили колу 1,5л, которая шла в подарок с сэндвичами",не спам
"Привезли вовремя, по вкусу мнения разделились, крылышек было заказано 2 порции, а привезли всего 7 штук крыльев, получается 1 крыло стоит 100 рублей?)",не спам
"Доставка пиццы заняла более 90 мин, пицца холодная, снизу жженая и пересоленая. В прошлый раз была намного вкуснее. Очень жаль.",не спам
"Заказывали соус Тар Тар, привезли чесночный! дети такое не едят!",не спам
"Роллы маленькие ,ждали заказ 2 часа 
Указано что к сету идет имбирь,васаби и соус. В итоге нету этого",не спам
Не положили соевый соус хотя заказывал 4 шт и имбирь 2 шт,не спам
"Долгое ожидание заказа, шаурму привезли просто с курицей, а заказана была деревенская. Картофеля в шаурме не было, ни в одной.",не спам
три часа ждать доставку это просто супер сервис,не спам
"доставка составила 2.5 часа. Ребят, надо пошустрее. Вкусно конечно, но все холодное((, роллы всмятку, пицца в том же виде. Печально, ожидали лучшего.",не спам
"оформили заказ в 22:10, приняли его в 22:40, позвонила девушка, попросила чтобы я оплатил заказ наличными, так как они закрыли терминал, я сходил до ближайшего магазина чтобы снять деньги с карты, прождал заказ до часа ночи, его наконец привезли, курьер вежливый, но ожидание заказа дало о себе знать, зачем принимать заказы и говорить по телефону что доставка будет около полутора часа, если на деле получается 3 часа ожидания.",не спам
"Говорили что ожидание будет 1:40-1:50, привезли через 2:50, чуть не умерли с голоду, привезли всё холодное, шаурма развалилась, пицца лединная, пацаны не оценили. Не доставка а сплошное разочарование. Не рекомендую. 👎👎",не спам
"Ребрышки одни кости, поесть костей за 560р ну такое, в салат с папоротником не положили мясо, хотя  в составе и в названии оно присутствует!",не спам
"Ждём уже 2,5 часа, курьера до сих пор нету",не спам
Вместо наггетсов прислали пасту!,не спам
"отвратительно. еда сухая, все отдаёт старым маслом, соус не полодили, хотя за него было  оплачено, курьер привёз еду без термо сумки, разочарование полное. последний раз заказывали в вашей забегаловке",не спам
Ждали заказ больше полутора часов,не спам
"Всё вкусно, но! в заказе был указан васаби, в чеке тоже есть, а в наличии нету....мелочь, а неприятно как то, знаете ли",не спам
"ужасные суши, разваливаются, безвкусные,2 ролла забыли положить ,больше заказывать в данной точке не буду....!",не спам
"не доложили соевый соус, роллы были слегка суховаты",не спам
не положили заказ за баллы,не спам
"Не положили подарочную позицию, а так все было вкусно",не спам
